patient,cell,candidate,u_front_speed_mm_per_day,u_front_width_mm,u_growth_efolds,u_chemo_kill_rate,u_rt_alpha,u_seed_peak_density,u_seed_sigma_mm,front_speed_mm_per_day,front_width_mm,growth_efolds,chemo_kill_rate,rt_alpha,seed_peak_density,seed_sigma_mm,resection_time,white_matter_diffusivity,rho,gaussian_seed_mass,gaussian_seed_diffusion_time,seed_enhancing_radius_mm,s,rho_T_r,ell_mm,log_kill_rt,log_kill_ct,log_kill_total,visibility_margin,r_core_mm,r_whole_mm,whole_core_ratio,R_over_lambda,fd_check
p20,broad_visible,68,0.44049473013728857,0.5766618549823761,0.8799842521548271,0.07212760951370001,0.42329836543649435,0.1371206073090434,0.4632799308747053,0.07633734711990402,3.3172449920114886,8.90558599630069,7.32719580460396e-05,0.004709689113688847,0.6548482429236173,2.1077484339401233,773.9857792216463,0.1266148412184721,0.01150613646320031,96.57546212564566,2.221301730388521,0.8816027316061148,0.63539124756114,8.90558599630069,59.08402109431221,0.3532266835266635,0.0388563413880513,0.3920830249147148,0.9886533506693224,19.763388989764838,26.769683319769687,2.4851090149992268,8.069854166404896,False
p21,broad_visible,90,0.8255932070314884,0.59743423294276,0.5232175290584564,0.29459221195429564,0.01444319263100624,0.3230273798108101,0.7126737246289849,0.1727201326591947,3.4636729158211,3.6698350562045623,0.00023814173891709825,0.0005397643831109606,0.7292109519243241,3.148745475025391,147.1873381985835,0.29912302275434005,0.024933089361622005,358.53838206779926,4.9572990332464375,1.966559348552468,0.9090770264833011,3.6698350562045623,25.422216579413096,0.04048232873332204,0.1262872857893703,0.16676961452269234,2.825201108871948,6.252741134374175,10.358768340413583,4.546875,2.990688957117629,False
p22,broad_visible,101,0.8372494587674737,0.49474294669926167,0.7864216351881623,0.11969516985118389,0.6558899870142341,0.4126113895326853,0.16472559235990047,0.1770419800348059,2.7976758972668034,7.058159693031202,9.427405342701456e-05,0.01615074418514437,0.7650445558130741,1.303581678696783,223.0707456883544,0.24765304017388354,0.031640902401841385,26.6913951952392,0.8496625965169615,0.9087832883554183,0.4659516422078485,7.058159693031202,39.492886504506906,1.2113058138858277,0.0499938162112956,1.2612996300971233,2.5356086581238433,7.20696616269135,11.90630311631477,4.508928571428571,4.255783569478746,False
p23,broad_visible,113,0.5941369868814945,0.406745046377182,0.4824724840000272,0.4304999392479658,0.5067774495109916,0.8497233428061008,0.7618800457566977,0.10573377417481529,2.329846874476472,3.3164637636146175,0.000489286550085511,0.007329597339419607,0.9398893371224404,3.4082488660200445,146.15675633022946,0.12317175164389725,0.022691142352128654,586.0577613661924,5.808080166363459,3.229151630842821,1.4628638917679493,3.3164637636146175,15.453705467943987,0.5497198004564705,0.2594701401968619,0.8091899406533324,1.913747141602106,7.560142621713884,10.740543280947838,2.867403314917127,4.609978191532991,False
p24,broad_invisible,0,0.15546531789004803,0.588747326284647,0.607532175257802,0.2423999896273017,0.8456894652917981,0.2625605845823884,0.6753896083682775,0.041713500371627334,3.401667143701225,4.525195326322033,0.00018060910953817834,0.04414960587702009,0.7050242338329553,2.9653576270205027,738.0444279785326,0.07094772183146676,0.006131331874852467,289.53767340326266,4.3966729280643335,1.6842736456395349,0.8717365637938371,4.525195326322033,30.78641652076,3.3112204407765065,0.0957775580884279,3.4069979988649344,-2.6712381738826383,7.4656838109979935,12.338392473273807,4.514056224899599,3.627160434000862,True
p25,broad_invisible,9,0.7444555098190904,0.3812841037288308,0.8873326042667031,0.819793751463294,0.7678933208808303,0.995580387301743,0.3436343353241682,0.14542191173775593,2.2097027505632902,9.06969547794836,0.003848930035476633,0.0292358395094494,0.9982321549206972,1.738561639295582,275.6301413577221,0.16066959917954565,0.03290531083890932,82.61742146494053,1.5112982868150708,1.7542357702655247,0.7867852989966155,9.06969547794836,40.08266208878785,2.192687963208705,2.0410992612376084,4.2337872244463135,-0.2851499237771953,14.988614632215763,19.238393407208708,2.114569301666076,8.706326406257366,False
p26,broad_invisible,60,0.3370626736432314,0.6019855001941323,0.4762848727405071,0.6781889712437987,0.16195361223071814,0.016654321923851967,0.8844524677842855,0.061304857301600235,3.4966090520488966,3.265861044186436,0.001817620322778607,0.001179315818745076,0.6066617287695407,4.151506719947076,372.5459871362615,0.10717955948767063,0.00876632994839352,683.6497142680752,8.617504022882864,0.6169339227862215,1.1872950787891001,3.265861044186436,22.838878579672308,0.08844868640588072,0.9638895651098673,1.052338251515748,-0.0003786577085256315,7.261704711657996,11.841961769523538,4.3366583541147135,3.386698825419028,False
p27,broad_invisible,86,0.7143520619720221,0.7284160954877734,0.7696550926193595,0.877219557762146,0.5243692686781287,0.054614379070699215,0.6802715780213475,0.1364300474907454,4.548050540827743,6.7701352034552515,0.005217692965728526,0.008045618215366378,0.6218457516282797,2.9887488900637296,451.380288138363,0.31024537563771964,0.014998739159340474,261.46933219796097,4.4663099639285875,0.7993148277412296,0.6571494452917356,6.7701352034552515,61.5818341471032,0.6034213661524783,2.766958390916643,3.370379757069121,-1.570531057948264,15.187512036961456,25.421570418467294,4.689723320158103,5.5895531921333,False
p28,broad_invisible,102,0.636218897998333,0.5793904643505812,0.40471465699374676,0.8475686935707927,0.948125658556819,0.08504788111895323,0.9726089397445321,0.11560152083102071,3.3361204849090655,2.733760523376527,0.004459138807661165,0.07596885562132923,0.6340191524475812,4.784366874862023,157.78606401214134,0.19283030086550512,0.017325741284516544,1093.5675237363967,11.445083196638501,1.588950223974567,1.4341109370911804,2.733760523376527,18.240308965744322,5.697664171599692,2.364694822244557,8.06235899384425,-5.983270039702264,7.614056595592697,12.144569159241692,4.057869118442401,3.6403269049117464,False
p29,broad_invisible,108,0.30880420468747616,0.5371786123141646,0.6952809039503336,0.9432332282885909,0.7305272342637181,0.8292478900402784,0.8172194343060255,0.05773962483276792,3.055769740431118,5.627741131712209,0.007402492150385834,0.023984743758143936,0.9316991560161114,3.725734227083062,595.6769240213765,0.08821949919390867,0.009447639995384899,758.8940000650655,6.94054776542911,3.49536746891163,1.2192457362829383,5.627741131712209,34.39416211453148,1.7988557818607953,3.925564019144003,5.724419801004798,-4.59070300155861,14.33188218781931,20.28008684316845,2.833346849403941,6.636654121821126,False
p30,broad_invisible,123,0.4601390156894922,0.4607862764969468,0.679288730956614,0.28016322292387486,0.781366553157568,0.0939233461394906,0.9170416975393891,0.0795840231263651,2.6069426211672058,5.408485367820273,0.00022061446479582932,0.03139914922100167,0.6375693384557962,4.375066305785374,354.3327031593318,0.10373549092603888,0.015263861674625767,840.9131492768108,9.57060259000924,1.524801710509514,1.6782365174675486,5.408485367820273,28.199222042659724,2.354936191575125,0.1169925192099095,2.4719287107850345,-0.6402653098299425,14.640547806173696,19.893532211147424,2.508786610878661,7.630981997693719,False
p31,broad_invisible,144,0.22997245751321316,0.6407521609216928,0.7080181948840618,0.6222221422940493,0.1198759051039815,0.14934859331697226,0.8902422524988651,0.04885220900634774,3.7901540372476688,5.808713516641012,0.001351206786151287,0.000943643728127679,0.6597394373267889,4.190372501223375,901.3274705121866,0.09257869859693792,0.0064446205254791175,764.5398755789905,8.779610849504522,1.8257266879750125,1.1055942476328313,5.808713516641012,44.03183797262407,0.07077327960957593,0.7165490532620462,0.7873223328716221,-0.013967869814128009,16.138589868915478,24.149130791752516,3.35048560231726,6.371543360620011,False
