run_name,success,exit_code,wall_time_s,error,final_time,n_steps,growth_dt,growth_n_steps,treated_dt
r0001_AB-diffusivity_ratio,True,0,20.973,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_AB-resection_time,True,0,21.539,,318.5298969190862,3823,0.08331935572039921,2382,0.08331935572039921
r0001_AB-rt_alpha,True,0,21.665,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_AB-gaussian_seed_y_fraction,True,0,17.256,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_AB-gaussian_seed_x_fraction,True,0,18.932,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_AB-gaussian_seed_z_fraction,True,0,15.426,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0002_AB-front_speed_mm_per_day,True,0,14.098,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_A,True,0,14.56,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_AB-resection_time,True,0,13.334,,158.69330810394982,1908,0.08317259334588564,465,0.08317259334588564
r0002_AB-diffusivity_ratio,True,0,15.588,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0001_B,True,0,18.284,,318.5298969190862,3823,0.08331935572039921,2382,0.08331935572039921
r0002_AB-front_width_mm,True,0,17.242,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_AB-rt_alpha,True,0,15.145,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_AB-chemo_kill_rate,True,0,18.02,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_AB-rt_alpha_beta_ratio,True,0,17.67,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_AB-gaussian_seed_x_fraction,True,0,13.188,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_B,True,0,13.145,,158.69330810394982,1908,0.08317259334588564,465,0.08317259334588564
r0002_AB-seed_peak_density,True,0,18.393,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_AB-seed_sigma_mm,True,0,18.386,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_AB-gaussian_seed_y_fraction,True,0,18.001,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0002_AB-gaussian_seed_z_fraction,True,0,17.851,,196.17121114263094,2356,0.0832645208585021,914,0.0832645208585021
r0003_AB-diffusivity_ratio,True,0,15.572,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_AB-front_width_mm,True,0,15.775,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_A,True,0,17.217,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_AB-front_speed_mm_per_day,True,0,19.177,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_AB-chemo_kill_rate,True,0,16.003,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_AB-resection_time,True,0,18.867,,254.99658638146352,3061,0.0833049939174987,1620,0.0833049939174987
r0003_AB-rt_alpha_beta_ratio,True,0,16.061,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_AB-rt_alpha,True,0,18.919,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_AB-seed_sigma_mm,True,0,15.442,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_AB-gaussian_seed_x_fraction,True,0,18.116,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_AB-gaussian_seed_z_fraction,True,0,17.318,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0003_AB-seed_peak_density,True,0,21.39,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0004_AB-front_width_mm,True,0,16.032,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0003_B,True,0,19.37,,254.99658638146352,3061,0.0833049939174987,1620,0.0833049939174987
r0004_A,True,0,20.399,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0003_AB-gaussian_seed_y_fraction,True,0,22.4,,293.0917432651616,3518,0.08331203617542968,2077,0.08331203617542968
r0004_AB-front_speed_mm_per_day,True,0,19.381,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0004_AB-diffusivity_ratio,True,0,16.729,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0004_AB-rt_alpha,True,0,15.383,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0004_AB-resection_time,True,0,16.66,,257.7761067202595,3094,0.08331483733686475,1653,0.08331483733686475
r0004_AB-chemo_kill_rate,True,0,16.853,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0004_AB-seed_peak_density,True,0,15.433,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0004_AB-gaussian_seed_y_fraction,True,0,14.173,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0005_AB-front_speed_mm_per_day,True,0,14.891,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0004_AB-gaussian_seed_x_fraction,True,0,18.627,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0004_AB-rt_alpha_beta_ratio,True,0,21.986,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0004_B,True,0,17.658,,257.7761067202595,3094,0.08331483733686475,1653,0.08331483733686475
r0004_AB-gaussian_seed_z_fraction,True,0,21.099,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0005_AB-front_width_mm,True,0,14.724,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0004_AB-seed_sigma_mm,True,0,24.558,,310.78970747550454,3731,0.08329930513950805,2290,0.08329930513950805
r0005_A,True,0,20.543,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0005_AB-diffusivity_ratio,True,0,15.149,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0005_AB-resection_time,True,0,13.96,,182.6979286029583,2193,0.08330958896623726,752,0.08330958896623726
r0005_AB-rt_alpha,True,0,14.124,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0005_AB-chemo_kill_rate,True,0,19.001,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0005_AB-seed_peak_density,True,0,14.159,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0005_AB-rt_alpha_beta_ratio,True,0,15.31,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0006_AB-front_speed_mm_per_day,True,0,14.787,,241.30835717190237,2897,0.08329594655571362,1456,0.08329594655571362
r0005_AB-seed_sigma_mm,True,0,18.684,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0006_AB-front_width_mm,True,0,15.042,,241.30835717190237,2897,0.08329594655571362,1456,0.08329594655571362
r0005_AB-gaussian_seed_z_fraction,True,0,16.873,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0005_AB-gaussian_seed_x_fraction,True,0,20.32,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
r0005_B,True,0,19.895,,182.6979286029583,2193,0.08330958896623726,752,0.08330958896623726
r0005_AB-gaussian_seed_y_fraction,True,0,20.943,,213.910279799754,2567,0.08333084526675262,1126,0.08333084526675262
