patient,cell,candidate,u_front_speed_mm_per_day,u_front_width_mm,u_resection_time,u_chemo_kill_rate,u_rt_alpha,u_seed_peak_density,u_seed_relative_width,front_speed_mm_per_day,front_width_mm,resection_time,chemo_kill_rate,rt_alpha,seed_peak_density,seed_relative_width,white_matter_diffusivity,rho,gaussian_seed_mass,gaussian_seed_diffusion_time,seed_sigma_mm,seed_enhancing_radius_mm,rho_T_r,log_kill_rt,log_kill_ct,log_kill_total,fd_check
p18,old_weak,5,0.8557352824136615,0.26202182564884424,0.6399185042828321,0.4771282644942403,0.2543213926255703,0.6311723086982965,0.3112777043133974,0.18411889135323897,1.5245630738918083,138.78614572808146,0.002087988912728271,0.02142297398183757,0.8524689234793186,2.4816122349033507,0.14035043148152296,0.06038415022188354,727.0868885810175,7.156960838465944,3.7833743770517727,3.170851910786849,8.380483472360691,1.606723048637818,1.1072668476589314,2.7139898962967495,False
p19,old_weak,27,0.47093433141708374,0.28226777352392673,0.7789079304784536,0.13759628776460886,0.1834249785169959,0.8134646425023675,0.5596875669434667,0.08142662211194013,1.5750585657158676,162.41434818133712,0.0007550694550033793,0.017323729705455006,0.925385857000947,2.9478999620666975,0.06412584931736018,0.025848760130050007,1458.8848202791203,10.779258851508365,4.643115086126633,4.322244575308341,4.198209527817807,1.2992797279091257,0.4004156200775496,1.6996953479866752,False
p20,old_weak,33,0.5053278803825378,0.48338704369962215,0.7014686344191432,0.1987199317663908,0.07730419654399157,0.03731702268123627,0.9387914519757032,0.08758639347607856,2.177073262196638,149.24966785125434,0.0009067980891747734,0.012605935436911717,0.6149268090724945,3.8338435146772873,0.09534099768450235,0.020115628398215925,5631.38875448294,34.8325169535054,8.346558207249908,1.8503623372176163,3.0022508570529864,0.9454451577683788,0.4808777745623798,1.4263229323307587,False
p21,old_weak,38,0.6428872318938375,0.779548249207437,0.8696272121742368,0.052122920751571655,0.22828769590705633,0.2851262530311942,0.2620290322229266,0.11724757646858872,3.506556517700869,177.83662606962025,0.0005844986167224456,0.019815687287975406,0.7140505012124777,2.398328090100085,0.2055676267252804,0.01671833547765886,6689.090049862972,35.362981903798726,8.40987299592553,4.961454942574,2.973132374846885,1.4861765465981556,0.30996138765584236,1.796137934253998,False
p22,old_weak,50,0.9173721298575401,0.8167639719322324,0.42307085637003183,0.49131037294864655,0.10994355287402868,0.972070143558085,0.6648819101974368,0.20982378464601092,3.7230041215398124,101.92204558290541,0.002178610220594628,0.013900802087492297,0.988828057423234,3.1708769880783167,0.39058740751709037,0.028179365076720496,25621.781127867926,69.68123298520108,11.805188095511319,11.800356498307085,2.8720985318468393,1.0425601565619222,1.1553236018304847,2.1978837583924067,False
p23,old_weak,54,0.732838299125433,0.5304851308465004,0.6857187077403069,0.5158721385523677,0.37814733013510704,0.7726946761831641,0.7954534674063325,0.14188369961510178,2.348514220403152,146.57218031585217,0.002344958334481575,0.031044239072197822,0.9090778704732656,3.4712456578869206,0.16660794309473786,0.030207119544446628,7757.227343277916,33.229751364963505,8.152269790060128,7.431553886154921,4.427523372691133,2.3283179304148365,1.2435385107099262,3.571856441124763,False
p24,old_strong,7,0.007903682999312878,0.16636828053742647,0.963068712502718,0.005940333940088749,0.9443988865241408,0.008861115202307701,0.12363636773079634,0.030506972758791787,1.3070326538179886,193.72168112546206,0.0005089774680723114,0.1693133798545957,0.6035444460809231,2.178954948125762,0.019936804782438356,0.01167031774978135,219.57511879433522,4.055453085002505,2.8479652683986525,0.3091067099461489,2.2607935737559623,12.69850348909468,0.2699122936747106,12.96841578276939,True
p25,old_strong,9,0.7444555098190904,0.3812841037288308,0.8873326042667031,0.819793751463294,0.7678933208808303,0.995580387301743,0.3436343353241682,0.14542191173775593,1.8471669592286593,180.84654272533953,0.0058283586080099216,0.09978200904766095,0.9982321549206972,2.537898436199194,0.13430927525492453,0.03936349960441077,1619.7296305922996,10.988306982343204,4.687922137225234,4.730186445774877,7.118752813027958,7.483650678574572,3.0907962315204127,10.574446910094984,False
p26,old_strong,10,0.7895262241363525,0.5446511777117848,0.30422534607350826,0.09179809223860502,0.5694057401269674,0.5106668435037136,0.5202633077278733,0.16000435691346016,2.4026739295144313,81.7183088324964,0.0006582669880822106,0.055057178011929664,0.8042667374014855,2.868433969038907,0.19221914848234645,0.03329714343423126,4146.569884042249,23.74922217179654,6.891911515943387,5.275814056590913,2.72098625039844,4.129288350894725,0.349080978528445,4.4783693294231695,False
p27,old_strong,11,0.4042995283380151,0.031724308617413044,0.712679143063724,0.665990674868226,0.45428067073225975,0.36350070033222437,0.031023754738271236,0.0706981163224056,1.0523842507946413,151.1554543208331,0.0036765785506390728,0.03899714192845297,0.7454002801328897,2.043473812030663,0.037200792089273606,0.033589497500092,116.75879488795405,2.31236739691011,2.150519656692359,1.416706815338877,5.077235755034893,2.9247856446339733,1.9497007465510234,4.8744863911849965,False
p28,old_strong,13,0.9368752809241414,0.21584295853972435,0.12861865758895874,0.15638296771794558,0.7206979878246784,0.7647798387333751,0.21263210102915764,0.21868227510301677,1.415362724440337,51.865171790122986,0.000798783225621627,0.08662628700548326,0.90591193549335,2.3176008213850254,0.15475737033830855,0.07725308549067807,503.58751380067685,5.380006295935752,3.2802458127206724,2.977669925479327,4.006744550291075,6.496971525411245,0.423597165102378,6.920568690513623,False
p29,old_strong,18,0.8821882521733642,0.7475778898224235,0.7491685645654798,0.8004521429538727,0.19578949827700853,0.4290509568527341,0.4544916795566678,0.19474070676314512,3.330692360269591,157.35865597613156,0.005500247754642044,0.017977446711369638,0.7716203827410937,2.740599814468622,0.32431069212475405,0.029234268088840023,9243.020758712315,41.6610579286314,9.128094864606897,6.474683761122308,4.600265134905778,1.348308503352723,2.9167980517041143,4.265106555056837,False
p30,old_strong,21,0.7660901639610529,0.012916220352053642,0.8233196465298533,0.9507262837141752,0.10797837283462286,0.17440580762922764,0.7777313143014908,0.15224794694700108,1.0210054271781295,169.96433991007507,0.008627667848684437,0.01381920635402384,0.669762323051691,3.4288654994971446,0.07772299005480801,0.07455785390278791,452.6119507128574,6.128116390479359,3.5008902840504326,1.6420127327220357,12.672176423699161,1.036440476551788,4.575278404605383,5.611718881157171,False
p31,old_strong,25,0.6312814578413963,0.13193435780704021,0.5712373070418835,0.3460978912189603,0.617857251316309,0.4528657766059041,0.872297789901495,0.11439763867758884,1.2365684414617562,127.11034219712019,0.0014101124344754372,0.06365768150413358,0.7811463106423616,3.661152301136655,0.07073025488322557,0.04625608856003093,1141.5897248152696,10.248065978249494,4.527265394970676,3.2886325983563336,5.879627245565828,4.7743261128100185,0.7477868970703075,5.522113009880326,False
