lambda,run_type,snapshot,n_steps,dt,resection_time,wall_time_s,dice_core,dice_edema,assd_core_mm,assd_edema_mm,rel_l2_log,rel_l2,max_abs_diff,mass,mass_out_of_field,ref_mass,ref_mass_out_of_field,qoi_mass,qoi_log10_mass,qoi_V_core,qoi_V_edema,qoi_log10_V_core,qoi_log10_V_edema,qoi_r95_core,qoi_r95_edema,qoi_centroid_drift,qoi_centroid_x_mm,qoi_centroid_y_mm,qoi_centroid_z_mm,qoi_R_g,qoi_anisotropy,qoi_log10_anisotropy,qoi_wm_fraction,qoi_n_core,qoi_n_edema,qoi_voxel_volume
0.5,growth_fixed_dt,pre,2400,0.08333333333333333,200.0,4.4316316321492195,0.9997676039972112,0.999720190270616,0.001998001998001998,0.0031257513825438807,7.349844587474104e-05,0.00021645516823980962,0.00011854680508299742,11048.05569456054,175.8028448816235,11044.552133675556,175.45659981530858,11049.533206286336,4.0433439313952375,4304.0,12512.0,3.6339731557896737,4.097361444565494,10.295630140987,14.352700094407323,0.4232751038262163,131.7585703667406,102.98064878135409,90.34712976830033,14.165503326066453,1.0683080805247887,0.028696513345759716,0.4874078557491304,4304.0,12512.0,1.0
0.5,growth_fixed_n,pre,1200,0.16666666666666666,200.0,2.1540814489126205,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11044.552133675556,175.45659981530858,11044.552133675556,175.45659981530858,11046.028498588787,4.04320615936239,4302.0,12505.0,3.6337713460825554,4.09711842434465,10.295630140987,14.352700094407323,0.4229602832109226,131.75884530957643,102.98070627133498,90.34694029528836,14.163499908432428,1.0682859098142288,0.028687500292928988,0.48736124102191,4302.0,12505.0,1.0
0.5,treated,pre,3840,0.08333333333333333,200.0,15.546722449362278,0.9994181310368905,0.999359743897559,0.005,0.006740491092922484,0.00010981646550903477,0.0005522821444564151,0.0003062019859000342,11042.863100052804,175.56776227539365,11034.174922307024,174.98775973202123,11044.33942342728,4.0431397452559175,4299.0,12503.0,3.6334684555795866,4.097048965011131,10.295630140987,14.352700094407323,0.42304318233169586,131.75875362074683,102.98068159695677,90.34697624979013,14.164023170869848,1.068289935645776,0.02868913692701315,0.4873637935508849,4299.0,12503.0,1.0
0.5,treated,d34,3840,0.08333333333333333,200.0,15.546722449362278,,,,,0.015445980722329142,0.2091151140020719,0.018473303399334312,1468.1668960225845,173.8710673802712,1955.120605627581,266.23698395675467,1469.0191617875844,3.167027460735346,0.0,0.0,0.0,0.0,0.0,0.0,1.570042200181252,130.9284951388519,103.07596862780285,91.1450496104867,17.74446489437809,1.122546944660549,0.0502045121526156,0.6107214790076515,0.0,0.0,1.0
0.5,treated,d55,3840,0.08333333333333333,200.0,15.546722449362278,,,,,0.02433232798450506,0.37076261700517255,0.007656130159797577,340.969552785367,132.06951644615486,579.644240073455,243.2076470252642,341.59492517594737,2.5335114100718448,0.0,0.0,0.0,0.0,0.0,0.0,3.5476932631981604,129.29533829457563,103.23982306913075,92.28329092418493,21.267659303581738,1.2083649062670005,0.08219810386050616,0.6298036633747887,0.0,0.0,1.0
0.5,treated,d80,3840,0.08333333333333333,200.0,15.546722449362278,,,,,0.036037920601718385,0.4972887972015601,0.014544371982086388,433.7036713143874,158.90835803121612,936.0785242488953,372.0192086581172,434.50010172366865,2.637989882460227,0.0,0.0,0.0,0.0,0.0,0.0,3.5624071145178107,129.28421950624488,103.23701214678331,92.2932740790371,21.37329221056938,1.2078575796054158,0.08201572895573252,0.6289500963714622,0.0,0.0,1.0
0.5,treated,d120,3840,0.08333333333333333,200.0,15.546722449362278,,,,,0.05339339124725304,0.6484702382408173,0.026214047696644,413.2829488495898,145.92546866688446,1291.4189138158058,501.5364032944079,414.0433409828279,2.6170458043201497,0.0,0.0,0.0,0.0,0.0,0.0,3.585417277957209,129.2664000063081,103.23301656211133,92.30832220743628,21.53776785274108,1.2074230869334759,0.08185947566848467,0.6275120127131996,0.0,0.0,1.0
2.0,growth_fixed_dt,pre,600,0.08333333333333333,50.0,1.544798530638218,1.0,0.9996,0.0,0.004331087584215592,0.00014660164491961793,0.00043230085064859897,0.00023690398054254658,11037.558037167899,174.7670033092217,11044.552133675556,175.45659981530858,11039.032114786836,4.0429309967958655,4302.0,12495.0,3.6337713460825554,4.096771016533225,10.295630140987,14.352700094407323,0.42233188719400994,131.75939391935935,102.98082087347368,90.34656182421797,14.159500161565262,1.0682415839128494,0.028669479935658854,0.48726809288132683,4302.0,12495.0,1.0
2.0,growth_fixed_n,pre,1200,0.041666666666666664,50.0,2.222058244049549,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11044.552133675556,175.45659981530858,11044.552133675556,175.45659981530858,11046.028498588787,4.04320615936239,4302.0,12505.0,3.6337713460825554,4.09711842434465,10.295630140987,14.352700094407323,0.4229602832109226,131.75884530957643,102.98070627133498,90.34694029528836,14.163499908432428,1.0682859098142288,0.028687500292928988,0.48736124102191,4302.0,12505.0,1.0
2.0,treated,pre,2040,0.08333333333333333,50.0,9.001808151602745,0.9988342270925624,0.9989177055357358,0.009009009009009009,0.01253616200578592,0.0002190539839886483,0.001102930528743903,0.0006121453282108558,11016.83545106814,173.83459673112563,11034.174922307024,174.98775973202123,11018.304797691759,4.042114782025751,4284.0,12460.0,3.631950826259217,4.095552896019402,10.295630140987,14.352700094407323,0.4214064299136497,131.7601241697135,102.98095115957204,90.34594812746317,14.153589896845247,1.0681689138722472,0.028639934866789268,0.4870918912937596,4284.0,12460.0,1.0
2.0,treated,d34,2040,0.08333333333333333,50.0,9.001808151602745,,,,,0.03191223130492812,0.5760873013399049,0.04381396333655556,3431.101165461055,625.1963269365536,1955.120605627581,266.23698395675467,3433.4359053518165,3.5357289444892626,0.0,0.0,0.0,0.0,0.0,0.0,2.095851785040786,130.4274929602943,103.01668466202632,91.3854739033947,19.360011249678262,1.1436895195005512,0.05830814135501303,0.6195986735426637,0.0,0.0,1.0
2.0,treated,d55,2040,0.08333333333333333,50.0,9.001808151602745,,,,,0.05133541818192372,1.5764243385981669,0.03228745629416797,1684.62191584872,842.2509602729385,579.644240073455,243.2076470252642,1687.7662109067742,3.2273122880568277,0.0,0.0,0.0,0.0,0.0,0.0,4.673655851141872,128.30369102675076,103.17703888479852,92.85464817840291,23.547324905308574,1.253111048092787,0.09798955897255904,0.6303839617116208,0.0,0.0,1.0
