patient,cell,t_r_column,observation_set,split,name,resid7_frac,norm_T_r,n_rows
p01,young_weak,fixed_dt,d,region,rim,0.006565308206184471,96.41537406178561,62498
p01,young_weak,fixed_dt,d,region,out_of_field,0.0456520550167792,17.655683876853278,2925712
p01,young_weak,fixed_dt,d,day,pre,0.0063011743604861475,144.34044250677724,831774
p01,young_weak,fixed_dt,d,day,d34,0.16593057306706116,19.6570013725273,831774
p01,young_weak,fixed_dt,d,day,d55,0.3181220366287675,0.5742240709909929,831774
p01,young_weak,fixed_dt,d,day,d120,0.8829017763203978,0.168599592891228,831774
p01,young_weak,fixed_dt,e,region,core,0.0004916345744573203,34.859036715358826,4366
p01,young_weak,fixed_dt,e,region,rim,0.000585715165999151,96.41537406178561,62498
p01,young_weak,fixed_dt,e,region,out_of_field,0.01426464725660313,16.835753660154143,2194284
p01,young_weak,fixed_dt,e,day,pre,0.00047340361410560557,144.34044250677724,831774
p01,young_weak,fixed_dt,e,day,d80,0.31682540535456716,0.7859088295701029,831774
p01,young_weak,fixed_dt,e,day,d120,0.41268275473388455,0.168599592891228,831774
p01,young_weak,fixed_dt,f,region,core,0.008635323514004176,34.859036715358826,4366
p01,young_weak,fixed_dt,f,region,rim,0.006597609513515948,96.41537406178561,62498
p01,young_weak,fixed_dt,f,region,out_of_field,0.049003855159265954,17.67223084098991,3657140
p01,young_weak,fixed_dt,f,day,pre,0.00632767172018969,144.34044250677724,831774
p01,young_weak,fixed_dt,f,day,d34,0.1658974605330803,19.6570013725273,831774
p01,young_weak,fixed_dt,f,day,d55,0.33228472790383,0.5742240709909929,831774
p01,young_weak,fixed_dt,f,day,d80,0.49454094791092246,0.7859088295701029,831774
p01,young_weak,fixed_dt,f,day,d120,0.8528556288327399,0.168599592891228,831774
p02,young_weak,scaled_dt,a,region,core,2.577405893961529e-15,324.4218389959731,15256
p02,young_weak,scaled_dt,a,region,rim,2.119003417701243e-15,690.4701962957797,53878
p02,young_weak,scaled_dt,a,region,out_of_field,1.7646425724560454e-15,2.4436626794812417,677898
p02,young_weak,scaled_dt,a,day,pre,1.984180678098652e-15,975.5768073208536,844478
p02,young_weak,scaled_dt,b,region,core,6.721425304207846e-11,324.4218389959731,15256
p02,young_weak,scaled_dt,b,region,rim,4.7343446759557473e-11,690.4701962957797,53878
p02,young_weak,scaled_dt,b,region,out_of_field,0.0005435003188668079,2.4437163679856164,1355796
p02,young_weak,scaled_dt,b,day,pre,4.5939905357944544e-11,975.5768073208536,844478
p02,young_weak,scaled_dt,b,day,d120,0.09347833864654892,0.017473743391635446,844478
p02,young_weak,scaled_dt,c,region,core,1.9918798314340297e-10,324.4218389959731,15256
p02,young_weak,scaled_dt,c,region,rim,1.3729883254152064e-10,690.4701962957797,53878
p02,young_weak,scaled_dt,c,region,out_of_field,0.001464259275321135,2.4439132726330315,2033694
p02,young_weak,scaled_dt,c,day,pre,1.6175683722150803e-10,975.5768073208536,844478
p02,young_weak,scaled_dt,c,day,d55,0.09587492420115618,0.03151128589969485,844478
p02,young_weak,scaled_dt,c,day,d120,0.1579967199066917,0.017473743391635446,844478
p02,young_weak,scaled_dt,d,region,core,1.1056600674562536e-07,324.4218389959731,15256
p02,young_weak,scaled_dt,d,region,rim,9.257108402614705e-08,690.4701962957797,53878
p02,young_weak,scaled_dt,d,region,out_of_field,0.0033629337532996603,2.4519610833784764,2711592
p02,young_weak,scaled_dt,d,day,pre,8.70360716958424e-08,975.5768073208536,844478
p02,young_weak,scaled_dt,d,day,d34,0.03802671721663825,1.5062343244407725,844478
p02,young_weak,scaled_dt,d,day,d55,0.10589499027194292,0.03151128589969485,844478
p02,young_weak,scaled_dt,d,day,d120,0.16085793169159843,0.017473743391635446,844478
p02,young_weak,scaled_dt,e,region,core,3.655307716210972e-10,324.4218389959731,15256
p02,young_weak,scaled_dt,e,region,rim,2.489764360285924e-10,690.4701962957797,53878
p02,young_weak,scaled_dt,e,region,out_of_field,0.0013752291385229394,2.4440755214154026,2033694
p02,young_weak,scaled_dt,e,day,pre,2.4389517383267214e-10,975.5768073208536,844478
p02,young_weak,scaled_dt,e,day,d80,0.07797530834299413,0.04309330535205108,844478
p02,young_weak,scaled_dt,e,day,d120,0.09559499938989674,0.017473743391635446,844478
p02,young_weak,scaled_dt,f,region,core,1.1055640953478975e-07,324.4218389959731,15256
p02,young_weak,scaled_dt,f,region,rim,9.261785893916236e-08,690.4701962957797,53878
p02,young_weak,scaled_dt,f,region,out_of_field,0.003654647623533273,2.452319029331974,3389490
p02,young_weak,scaled_dt,f,day,pre,8.70774793874426e-08,975.5768073208536,844478
p02,young_weak,scaled_dt,f,day,d34,0.03802644466554075,1.5062343244407725,844478
p02,young_weak,scaled_dt,f,day,d55,0.10998788203294628,0.03151128589969485,844478
p02,young_weak,scaled_dt,f,day,d80,0.10046497766072879,0.04309330535205108,844478
p02,young_weak,scaled_dt,f,day,d120,0.15574409417931898,0.017473743391635446,844478
p02,young_weak,fixed_dt,a,region,core,0.0002766641061376082,324.66533249005147,15256
p02,young_weak,fixed_dt,a,region,rim,0.000500685566948556,690.8327402621086,53878
p02,young_weak,fixed_dt,a,region,out_of_field,0.00041015176503034776,2.4438013145919824,677898
p02,young_weak,fixed_dt,a,day,pre,0.0004028926331081984,975.997197238631,844478
p02,young_weak,fixed_dt,b,region,core,0.00027666412030724125,324.66533249005147,15256
p02,young_weak,fixed_dt,b,region,rim,0.000500685574179427,690.8327402621086,53878
p02,young_weak,fixed_dt,b,region,out_of_field,0.0006810971532594242,2.443855155189889,1355796
p02,young_weak,fixed_dt,b,day,pre,0.0004028926331082013,975.997197238631,844478
p02,young_weak,fixed_dt,b,day,d120,0.09336607660456238,0.017499787374977996,844478
p02,young_weak,fixed_dt,c,region,core,0.0002766639280464859,324.66533249005147,15256
p02,young_weak,fixed_dt,c,region,rim,0.0005006855583848061,690.8327402621086,53878
p02,young_weak,fixed_dt,c,region,out_of_field,0.001511890351983017,2.444052660551934,2033694
p02,young_weak,fixed_dt,c,day,pre,0.000402892633108232,975.997197238631,844478
p02,young_weak,fixed_dt,c,day,d55,0.0947818946508246,0.03156818224201128,844478
p02,young_weak,fixed_dt,c,day,d120,0.15838334592850026,0.017499787374977996,844478
p02,young_weak,fixed_dt,d,region,core,0.0002766463241987843,324.66533249005147,15256
p02,young_weak,fixed_dt,d,region,rim,0.0005007013814652425,690.8327402621086,53878
p02,young_weak,fixed_dt,d,region,out_of_field,0.003470774694517799,2.4521087005851583,2711592
p02,young_weak,fixed_dt,d,day,pre,0.0004028926428679373,975.997197238631,844478
p02,young_weak,fixed_dt,d,day,d34,0.03855808963452781,1.5036045397863465,844478
p02,young_weak,fixed_dt,d,day,d55,0.10531239615762324,0.03156818224201128,844478
p02,young_weak,fixed_dt,d,day,d120,0.15956850813282256,0.017499787374977996,844478
p02,young_weak,fixed_dt,e,region,core,0.00027666420135184083,324.66533249005147,15256
p02,young_weak,fixed_dt,e,region,rim,0.0005006856014873839,690.8327402621086,53878
p02,young_weak,fixed_dt,e,region,out_of_field,0.001442823160397875,2.4442139777918293,2033694
