patient,cell,run,column,sign,variant,step,frame,n_steps,dt,dice_core,dice_edema,assd_core_mm,assd_edema_mm,rel_l2_log,rel_l2,max_abs_diff,mass,mass_out_of_field,ref_mass,ref_mass_out_of_field,qoi_mass,qoi_log10_mass,qoi_V_core,qoi_V_edema,qoi_log10_V_core,qoi_log10_V_edema,qoi_r95_core,qoi_r95_edema,qoi_centroid_drift,qoi_centroid_x_mm,qoi_centroid_y_mm,qoi_centroid_z_mm,qoi_R_g,qoi_anisotropy,qoi_log10_anisotropy,qoi_wm_fraction,qoi_n_core,qoi_n_edema,qoi_voxel_volume
p28,old_strong,log_alpha_plus,log_alpha,plus,,0.05,pre,2065,0.083250677030695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4682.760364930712,0.8784837637240609,4682.760364930712,0.8784837637240609,4682.76036496413,3.6705019338152653,2758.0,5648.0,3.4407517004791854,3.751971574736327,8.602325267042627,11.357816691600547,1.0605970663516981,131.95992534959882,103.09278841712036,91.0557700834923,9.730968408384612,1.2728285430666888,0.10476990576279273,0.39449586842097367,2758.0,5648.0,1.0
p28,old_strong,log_alpha_plus,log_alpha,plus,,0.05,d34,2065,0.083250677030695,,,,,0.0019104718267833121,0.14113919333157582,0.011758128252813416,634.8688176295477,36.64157678984862,735.9435283821028,37.80129205726889,634.8688177894086,2.802683996794688,0.0,0.0,0.0,0.0,0.0,0.0,3.060359205153864,131.00283224843554,103.25961017500937,92.88167616099406,14.434575385192549,1.3017693839504236,0.11453405324231775,0.6059423136870002,0.0,0.0,1.0
p28,old_strong,log_alpha_plus,log_alpha,plus,,0.05,d55,2065,0.083250677030695,,,,,0.0035487915985940393,0.19561845530666905,0.0035724759547881204,224.0690131604429,128.81714141010923,261.2140098326648,133.6601419634028,224.06901382742237,2.350381802745656,0.0,0.0,0.0,0.0,0.0,0.0,8.99398235140383,126.25702827704242,103.29567393459156,96.91538655832603,20.937102918771064,1.3311732641748544,0.1242345864872652,0.6947066900916322,0.0,0.0,1.0
p28,old_strong,log_alpha_plus,log_alpha,plus,,0.05,d80,2065,0.083250677030695,,,,,0.0033041380988187937,0.19678205745126187,0.020679797248591314,1500.6349505100295,790.8902912076529,1741.2094005190027,822.6315197151398,1500.634955074199,3.176275058480287,0.0,0.0,0.0,0.0,0.0,0.0,8.983068829368612,126.25746884051973,103.29106708409836,96.90174915714319,21.299449896718375,1.323047909387703,0.12157557087380867,0.6903247669201975,0.0,0.0,1.0
p28,old_strong,log_alpha_plus,log_alpha,plus,,0.05,d120,2065,0.083250677030695,,0.8139002948714416,,1.0692765184174107,0.002615752430311815,0.12691753124002997,0.07434559671833618,19697.057123803428,10408.82975862883,21780.52819564082,10785.133642541594,19697.05720262569,4.294401346155108,0.0,14767.0,0.0,4.1693216836818365,0.0,27.784887978899608,8.700224048383136,126.27915074136448,103.24994878281778,96.55006166825943,22.49834187835288,1.3323255584161846,0.12461035917957142,0.6825192788766116,0.0,14767.0,1.0
p28,old_strong,log_alpha_minus,log_alpha,minus,,0.05,pre,2065,0.083250677030695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4682.760364930712,0.8784837637240609,4682.760364930712,0.8784837637240609,4682.76036496413,3.6705019338152653,2758.0,5648.0,3.4407517004791854,3.751971574736327,8.602325267042627,11.357816691600547,1.0605970663516981,131.95992534959882,103.09278841712036,91.0557700834923,9.730968408384612,1.2728285430666888,0.10476990576279273,0.39449586842097367,2758.0,5648.0,1.0
p28,old_strong,log_alpha_minus,log_alpha,minus,,0.05,d34,2065,0.083250677030695,,,,,0.0018230325249871877,0.15451132511689503,0.012732577581249335,847.0211097862885,39.011773999129936,735.9435283821028,37.80129205726889,847.0211099496852,2.9278942342036895,0.0,0.0,0.0,0.0,0.0,0.0,2.9506729211508715,131.09971968009168,103.26134882211447,92.79779606590226,14.269891470152894,1.3035955743057848,0.1151428773700942,0.6045098756577869,0.0,0.0,1.0
p28,old_strong,log_alpha_minus,log_alpha,minus,,0.05,d55,2065,0.083250677030695,,,,,0.003408287277647357,0.24916329379414645,0.004501050598218561,307.7726521571913,138.88307701475514,261.2140098326648,133.6601419634028,307.77265282539526,2.4882300279234495,0.0,0.0,0.0,0.0,0.0,0.0,7.557072164394573,127.37813524674566,103.29110954578702,95.97184738023705,19.835738144012414,1.3079924728698737,0.11660524475240408,0.6758464604976969,0.0,0.0,1.0
p28,old_strong,log_alpha_minus,log_alpha,minus,,0.05,d80,2065,0.083250677030695,,,,,0.0031885544333015705,0.24481985343651938,0.02502124629244025,2037.7232803157644,857.5046126321677,1741.2094005190027,822.6315197151398,2037.7232848883123,3.3091452081270276,0.0,0.0,0.0,0.0,0.0,0.0,7.6203367619265165,127.31918036404844,103.2876606266917,96.00638920356567,20.277731936091204,1.2982657966510087,0.1133636155779959,0.6736703434676947,0.0,0.0,1.0
p28,old_strong,log_alpha_minus,log_alpha,minus,,0.05,d120,2065,0.083250677030695,0.0,0.8875507805250242,,0.8472717933955102,0.0024609834132194304,0.13238898271172095,0.07056560668468892,24023.45727357468,11198.37289393701,21780.52819564082,10785.133642541594,24023.457352541634,4.380635509356657,325.0,26973.0,2.513217600067939,4.430945353168403,10.198039027185569,27.748873851023216,7.780716220828116,126.9526238392434,103.23608339162624,95.91673925681046,21.95163741298526,1.3076120814628893,0.11647892451801867,0.6753219337659019,325.0,26973.0,1.0
